"filename", "language", "TypeScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\garggaur\Downloads\zip\NVme\src\app\accordion\accordion.component.css", "CSS", 0, 56, 0, 0, 6, 62
"c:\Users\garggaur\Downloads\zip\NVme\src\app\accordion\accordion.component.html", "HTML", 0, 0, 41, 6, 4, 51
"c:\Users\garggaur\Downloads\zip\NVme\src\app\accordion\accordion.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\accordion\accordion.component.ts", "TypeScript", 50, 0, 0, 0, 10, 60
"c:\Users\garggaur\Downloads\zip\NVme\src\app\admin\admin.component.css", "CSS", 0, 48, 0, 0, 6, 54
"c:\Users\garggaur\Downloads\zip\NVme\src\app\admin\admin.component.html", "HTML", 0, 0, 16, 3, 8, 27
"c:\Users\garggaur\Downloads\zip\NVme\src\app\admin\admin.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\admin\admin.component.ts", "TypeScript", 20, 0, 0, 8, 8, 36
"c:\Users\garggaur\Downloads\zip\NVme\src\app\app-routing.module.ts", "TypeScript", 8, 0, 0, 0, 3, 11
"c:\Users\garggaur\Downloads\zip\NVme\src\app\app.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\garggaur\Downloads\zip\NVme\src\app\app.component.html", "HTML", 0, 0, 1, 0, 0, 1
"c:\Users\garggaur\Downloads\zip\NVme\src\app\app.component.spec.ts", "TypeScript", 31, 0, 0, 0, 5, 36
"c:\Users\garggaur\Downloads\zip\NVme\src\app\app.component.ts", "TypeScript", 9, 0, 0, 0, 2, 11
"c:\Users\garggaur\Downloads\zip\NVme\src\app\app.module.ts", "TypeScript", 96, 0, 0, 10, 8, 114
"c:\Users\garggaur\Downloads\zip\NVme\src\app\auth.guard.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\garggaur\Downloads\zip\NVme\src\app\auth.guard.ts", "TypeScript", 31, 0, 0, 5, 8, 44
"c:\Users\garggaur\Downloads\zip\NVme\src\app\auth.service.spec.ts", "TypeScript", 12, 0, 0, 0, 5, 17
"c:\Users\garggaur\Downloads\zip\NVme\src\app\auth.service.ts", "TypeScript", 24, 0, 0, 36, 15, 75
"c:\Users\garggaur\Downloads\zip\NVme\src\app\customer\customer.component.css", "CSS", 0, 36, 0, 0, 4, 40
"c:\Users\garggaur\Downloads\zip\NVme\src\app\customer\customer.component.html", "HTML", 0, 0, 7, 0, 7, 14
"c:\Users\garggaur\Downloads\zip\NVme\src\app\customer\customer.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\customer\customer.component.ts", "TypeScript", 17, 0, 0, 0, 6, 23
"c:\Users\garggaur\Downloads\zip\NVme\src\app\home\home.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\garggaur\Downloads\zip\NVme\src\app\home\home.component.html", "HTML", 0, 0, 3, 0, 0, 3
"c:\Users\garggaur\Downloads\zip\NVme\src\app\home\home.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\home\home.component.ts", "TypeScript", 13, 0, 0, 0, 5, 18
"c:\Users\garggaur\Downloads\zip\NVme\src\app\interface.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"c:\Users\garggaur\Downloads\zip\NVme\src\app\landing-page\landing-page.component.css", "CSS", 0, 54, 0, 7, 12, 73
"c:\Users\garggaur\Downloads\zip\NVme\src\app\landing-page\landing-page.component.html", "HTML", 0, 0, 22, 42, 13, 77
"c:\Users\garggaur\Downloads\zip\NVme\src\app\landing-page\landing-page.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\landing-page\landing-page.component.ts", "TypeScript", 47, 0, 0, 27, 16, 90
"c:\Users\garggaur\Downloads\zip\NVme\src\app\login\login.component.css", "CSS", 0, 87, 0, 7, 11, 105
"c:\Users\garggaur\Downloads\zip\NVme\src\app\login\login.component.html", "HTML", 0, 0, 30, 0, 11, 41
"c:\Users\garggaur\Downloads\zip\NVme\src\app\login\login.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\login\login.component.ts", "TypeScript", 49, 0, 0, 1, 8, 58
"c:\Users\garggaur\Downloads\zip\NVme\src\app\logout\logout.component.css", "CSS", 0, 0, 0, 0, 1, 1
"c:\Users\garggaur\Downloads\zip\NVme\src\app\logout\logout.component.html", "HTML", 0, 0, 1, 0, 1, 2
"c:\Users\garggaur\Downloads\zip\NVme\src\app\logout\logout.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\logout\logout.component.ts", "TypeScript", 22, 0, 0, 0, 4, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\navbar_intel\navbar_intel.component.css", "CSS", 0, 56, 0, 15, 13, 84
"c:\Users\garggaur\Downloads\zip\NVme\src\app\navbar_intel\navbar_intel.component.html", "HTML", 0, 0, 12, 0, 1, 13
"c:\Users\garggaur\Downloads\zip\NVme\src\app\navbar_intel\navbar_intel.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\navbar_intel\navbar_intel.component.ts", "TypeScript", 11, 0, 0, 0, 5, 16
"c:\Users\garggaur\Downloads\zip\NVme\src\app\reporting\reporting.component.css", "CSS", 0, 50, 0, 0, 10, 60
"c:\Users\garggaur\Downloads\zip\NVme\src\app\reporting\reporting.component.html", "HTML", 0, 0, 21, 0, 8, 29
"c:\Users\garggaur\Downloads\zip\NVme\src\app\reporting\reporting.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\reporting\reporting.component.ts", "TypeScript", 43, 0, 0, 1, 12, 56
"c:\Users\garggaur\Downloads\zip\NVme\src\app\reporting_\reporting_.component.css", "CSS", 0, 20, 0, 0, 3, 23
"c:\Users\garggaur\Downloads\zip\NVme\src\app\reporting_\reporting_.component.html", "HTML", 0, 0, 11, 0, 4, 15
"c:\Users\garggaur\Downloads\zip\NVme\src\app\reporting_\reporting_.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\reporting_\reporting_.component.ts", "TypeScript", 21, 0, 0, 0, 8, 29
"c:\Users\garggaur\Downloads\zip\NVme\src\app\subsystem-details\subsystem-details.component.css", "CSS", 0, 51, 0, 0, 10, 61
"c:\Users\garggaur\Downloads\zip\NVme\src\app\subsystem-details\subsystem-details.component.html", "HTML", 0, 0, 10, 0, 5, 15
"c:\Users\garggaur\Downloads\zip\NVme\src\app\subsystem-details\subsystem-details.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\subsystem-details\subsystem-details.component.ts", "TypeScript", 170, 0, 0, 33, 52, 255
"c:\Users\garggaur\Downloads\zip\NVme\src\app\table\table.component.css", "CSS", 0, 79, 0, 0, 14, 93
"c:\Users\garggaur\Downloads\zip\NVme\src\app\table\table.component.html", "HTML", 0, 0, 32, 4, 4, 40
"c:\Users\garggaur\Downloads\zip\NVme\src\app\table\table.component.spec.ts", "TypeScript", 20, 0, 0, 0, 6, 26
"c:\Users\garggaur\Downloads\zip\NVme\src\app\table\table.component.ts", "TypeScript", 38, 0, 0, 0, 11, 49
